url,status,redirect,canonical,canonicalHostOk,noindex,note
"https://battleexam.com/","200","","https://battleexam.com","true","false",""
"https://battleexam.com/neet/biology/human-health-and-diseases/page/2","200","","https://battleexam.com/neet/biology/human-health-and-diseases/page/2","true","false",""
"https://battleexam.com/gate-cse/theory-of-computation/regular-grammarr","200","","https://battleexam.com/gate-cse/theory-of-computation/regular-grammarr","true","false",""
"https://battleexam.com/neet/biology/anatomy-of-flowering-plants/page/4","200","","https://battleexam.com/neet/biology/anatomy-of-flowering-plants/page/4","true","false",""
"https://battleexam.com/neet/biology/chemical-coordination-and-integration/page/4","200","","https://battleexam.com/neet/biology/chemical-coordination-and-integration/page/4","true","false",""
"https://battleexam.com/neet/physics/semiconductor-electronics/page/5","200","","https://battleexam.com/neet/physics/semiconductor-electronics/page/5","true","false",""
"https://battleexam.com/gate-cse/computer-networks/application-layer/notes","200","","https://battleexam.com/gate-cse/computer-networks/application-layer/notes","true","false",""
"https://battleexam.com/neet/chemistry/p-block-elements/page/2","200","","https://battleexam.com/neet/chemistry/p-block-elements/page/2","true","false",""
"https://battleexam.com/neet/physics/work-energy-and-power/page/4","200","","https://battleexam.com/neet/physics/work-energy-and-power/page/4","true","false",""
"https://battleexam.com/gate-cse/computer-networks/network-security-basics/page/3","200","","https://battleexam.com/gate-cse/computer-networks/network-security-basics/page/3","true","false",""
"https://battleexam.com/gate-cse/compiler-design/runtime-environment/page/2","200","","https://battleexam.com/gate-cse/compiler-design/runtime-environment/page/2","true","false",""
"https://battleexam.com/gate-ece/digital-circuits/logic-gates","200","","https://battleexam.com/gate-ece/digital-circuits/logic-gates","true","false",""
"https://battleexam.com/gate-cse/algorithms/dynamic-programming","200","","https://battleexam.com/gate-cse/algorithms/dynamic-programming","true","false",""
"https://battleexam.com/gate-ece/communication-systems/analog-communication-systems/page/2","200","","https://battleexam.com/gate-ece/communication-systems/analog-communication-systems/page/2","true","false",""
"https://battleexam.com/gate-ece/electromagnetics/transmission-lines/page/3","200","","https://battleexam.com/gate-ece/electromagnetics/transmission-lines/page/3","true","false",""
"https://battleexam.com/gate-ce/transportation-engineering/geometric-design-of-highway-and-planning/page/3","200","","https://battleexam.com/gate-ce/transportation-engineering/geometric-design-of-highway-and-planning/page/3","true","false",""
"https://battleexam.com/gate-cse/dbms/er-model","200","","https://battleexam.com/gate-cse/dbms/er-model","true","false",""
"https://battleexam.com/gate-cse/computer-organization-architecture/machine-instruction/page/3","200","","https://battleexam.com/gate-cse/computer-organization-architecture/machine-instruction/page/3","true","false",""
"https://battleexam.com/gate-ce/geotechnical-engineering/properties-of-soils","200","","https://battleexam.com/gate-ce/geotechnical-engineering/properties-of-soils","true","false",""
"https://battleexam.com/gate-ce/environmental-engineering/air-and-noise-pollution","200","","https://battleexam.com/gate-ce/environmental-engineering/air-and-noise-pollution","true","false",""
"https://battleexam.com/jee-main/chemistry/chemical-bonding-and-molecular-structure/page/4","200","","https://battleexam.com/jee-main/chemistry/chemical-bonding-and-molecular-structure/page/4","true","false",""
"https://battleexam.com/jee-main/chemistry/amines","200","","https://battleexam.com/jee-main/chemistry/amines","true","false",""
"https://battleexam.com/jee-main/mathematics/definite-integrals/page/4","200","","https://battleexam.com/jee-main/mathematics/definite-integrals/page/4","true","false",""
"https://battleexam.com/jee-main/chemistry/solutions/page/8","200","","https://battleexam.com/jee-main/chemistry/solutions/page/8","true","false",""
"https://battleexam.com/jee-main/chemistry/hydrocarbons/page/6","200","","https://battleexam.com/jee-main/chemistry/hydrocarbons/page/6","true","false",""
"https://battleexam.com/jee-main/mathematics/probability/page/11","200","","https://battleexam.com/jee-main/mathematics/probability/page/11","true","false",""
"https://battleexam.com/jee-main/physics/current-electricity/page/17","200","","https://battleexam.com/jee-main/physics/current-electricity/page/17","true","false",""
"https://battleexam.com/jee-main/physics/properties-of-matter/page/12","200","","https://battleexam.com/jee-main/physics/properties-of-matter/page/12","true","false",""
"https://battleexam.com/jee-main/mathematics/binomial-theorem/page/10","200","","https://battleexam.com/jee-main/mathematics/binomial-theorem/page/10","true","false",""
"https://battleexam.com/jee-main/physics/electrostatics/page/3","200","","https://battleexam.com/jee-main/physics/electrostatics/page/3","true","false",""
